mindex,n,predictors,rsquare,adjr,predrsq,cp,aic,sbic,sbc,msep,fpe,apc,hsp
1,1,accelrate,0.49877708131135323,0.49514503117592823,0.48135951678043243,133.85124093609505,3104.6904902095266,2704.9998198566445,3113.5154174773547,34069182880.889122,246827385.83914557,0.5157511192303467,1776284.2612049133
2,1,carclass_id,0.4549536615951057,0.430365104975336,0.42376371385278755,157.4451424748209,3126.425271454788,2716.4839777558677,3149.958410835662,37047953493.94293,278498778.27128947,0.5608447829963404,2004206.2793245877
3,1,mpg_rec,0.3725491112072339,0.36800236563627176,0.3470928640248827,201.81057221041021,3136.1365136944287,2735.805681811497,3144.961440962257,42649165235.67057,308988389.89318323,0.6456378710766143,2223623.6550347307
4,1,mpg,0.28787197141797477,0.2827116233847716,0.2620296841591727,247.39953153181165,3153.859436758472,2753.2112067477815,3162.6843640263,48404849690.12174,350687674.3337297,0.7327694207148375,2523711.0314959474
5,1,mpg2,0.2160515518884417,0.21037076603256089,0.1829510918698639,286.06661679858615,3167.311414116508,2766.442182995303,3176.136341384336,53286635650.6193,386055662.7902937,0.8066715915350816,2778235.46780308
6,1,mpgmpge,0.15328910898223252,0.14715352281543714,0.12513239554166322,319.8570171791841,3178.093659749715,2777.059143365275,3186.918587017543,57552731764.13571,416963047.7756983,0.8712532356849491,3000659.334255051
7,1,I(factor(same_mpg)),0.012635558098830385,0.005480743302445079,-0.0043982748816842054,395.58287454272545,3199.608847130437,2798.274251355974,3208.433774398265,67113251383.690025,486227933.6759165,1.0159837010867105,3499121.554159983
8,2,accelrate carclass_id,0.6493325837017768,0.6307365843526287,0.6134248869183563,54.79431469635463,3066.6807111948656,2657.6936132934757,3093.1554929983495,24010868468.437542,181807035.0335662,0.3660251133623789,1308771.334054878
9,2,carclass_id mpg_rec,0.6123864440422145,0.5918311797111199,0.5675396505225527,74.68558714857147,3080.7045967539743,2671.2103427940606,3107.179378557458,26540641291.77805,200962131.2736132,0.4045893321311191,1446662.8125414362
10,2,accelrate mpg_rec,0.5910583861148432,0.5850884355471766,0.5681867325067266,86.16830807744668,3078.2034922166654,2678.4507950462153,3089.9700619071027,28001014197.214497,204281924.87484834,0.42685146558815634,1470560.956524001
11,2,mpg accelrate,0.5399588175874298,0.5332428879171733,0.5153875891186017,113.67958392751865,3094.687599008845,2694.398266939567,3106.4541686992825,31499899356.428104,229808107.2554601,0.48018897142333966,1654315.8687661672
